"Classification","Year","Period","Period.Desc","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Partner.Code","Partner","Commodity.Code","Commodity","Netweight.kg","Trade.Value.USD","Flag"
"HS",2010,201008,"August 2010",6,1,1,"Imports",51,"Armenia",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",200,1170,0
"HS",2010,201001,"January 2010",6,1,1,"Imports",97,"EU-28",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",12,68,0
"HS",2010,201002,"February 2010",6,1,1,"Imports",97,"EU-28",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",120,502,0
"HS",2010,201007,"July 2010",6,1,1,"Imports",97,"EU-28",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",57600,302318,0
"HS",2010,201007,"July 2010",6,1,1,"Imports",246,"Finland",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",38400,201551,0
"HS",2010,201009,"September 2010",6,1,1,"Imports",268,"Georgia",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",10000,55926,0
"HS",2010,201001,"January 2010",6,1,1,"Imports",276,"Germany",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",12,68,0
"HS",2010,201002,"February 2010",6,1,1,"Imports",276,"Germany",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",120,502,0
"HS",2010,201001,"January 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",9759,40001,0
"HS",2010,201002,"February 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",10204,39552,0
"HS",2010,201003,"March 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",51464,220740,0
"HS",2010,201004,"April 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",43909,201374,0
"HS",2010,201005,"May 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",77624,328040,0
"HS",2010,201006,"June 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",18184,84644,0
"HS",2010,201007,"July 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",23681,104831,0
"HS",2010,201008,"August 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",56593,218018,0
"HS",2010,201009,"September 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",100036,376265,0
"HS",2010,201010,"October 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",49929,226137,0
"HS",2010,201011,"November 2010",6,1,1,"Imports",398,"Kazakhstan",643,"Russian Federation",40510,"Dairy produce; derived from milk, butter",73814,240539,0
