"Rank","Title","Description","Runtime","Genre","Metascore"
1,"Отряд самоубийц","
A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","123 min","
Action, Adventure, Fantasy            ","
40        
        Metascore
            "
2,"Не дыши","
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","88 min","
Crime, Horror, Thriller            ","
71        
        Metascore
            "
3,"Великолепная семерка","
Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.","132 min","
Action, Adventure, Western            ","
54        
        Metascore
            "
4,"Дэдпул","
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","108 min","
Action, Adventure, Comedy            ","
65        
        Metascore
            "
5,"Расплата","
As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.","128 min","
Action, Crime, Drama            ","
51        
        Metascore
            "
6,"Зверопой","
In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","108 min","
Animation, Comedy, Family            ","
59        
        Metascore
            "
7,"Прибытие","
A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.","116 min","
Drama, Sci-Fi            ","
81        
        Metascore
            "
8,"Моана","
In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","107 min","
Animation, Adventure, Comedy            ","
81        
        Metascore
            "
9,"Стартрек: Бесконечность","
The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.","122 min","
Action, Adventure, Sci-Fi            ","
68        
        Metascore
            "
10,"Под покровом ночи","
A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.","116 min","
Drama, Thriller            ","
67        
        Metascore
            "
11,"Капитан Фантастик","
In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","118 min","
Comedy, Drama            ","
72        
        Metascore
            "
12,"Бэтмен против Супермена: На заре справедливости","
Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","152 min","
Action, Adventure, Sci-Fi            ","
44        
        Metascore
            "
13,"До встречи с тобой","
A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.","106 min","
Drama, Romance            ","
51        
        Metascore
            "
14,"Сплит","
Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.","117 min","
Horror, Thriller            ","
62        
        Metascore
            "
15,"Пассажиры","
A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.","116 min","
Drama, Romance, Sci-Fi            ","
41        
        Metascore
            "
16,"Почти семнадцать","
High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.","104 min","
Comedy, Drama            ","
77        
        Metascore
            "
17,"Доктор Стрэндж","
While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","115 min","
Action, Adventure, Fantasy            ","
72        
        Metascore
            "
18,"По соображениям совести","
World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","139 min","
Biography, Drama, History            ","
71        
        Metascore
            "
19,"Первый мститель: Противостояние","
Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","147 min","
Action, Adventure, Sci-Fi            ","
75        
        Metascore
            "
20,"Ла-Ла Ленд","
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","128 min","
Comedy, Drama, Music            ","
94        
        Metascore
            "
21,"Тарзан. Легенда","
Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","110 min","
Action, Adventure, Drama            ","
44        
        Metascore
            "
22,"13 часов: Тайные солдаты Бенгази","
During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.","144 min","
Action, Drama, Thriller            ","
48        
        Metascore
            "
23,"Служанка","
A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","145 min","
Drama, Romance, Thriller            ","
84        
        Metascore
            "
24,"Изгой-один. Звёздные войны: Истории","
In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.","133 min","
Action, Adventure, Sci-Fi            ","
65        
        Metascore
            "
25,"Зверополис","
In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","108 min","
Animation, Adventure, Comedy            ","
78        
        Metascore
            "
26,"Твоё имя","
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","106 min","
Animation, Drama, Fantasy            ","
79        
        Metascore
            "
27,"Девушка в поезде","
A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.","112 min","
Crime, Drama, Mystery            ","
48        
        Metascore
            "
28,"Люди Икс: Апокалипсис","
In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.","144 min","
Action, Adventure, Sci-Fi            ","
52        
        Metascore
            "
29,"Боги Египта","
Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.","127 min","
Action, Adventure, Fantasy            ","
25        
        Metascore
            "
