"Книга","Автор","Ссылка"
"Властелин колец","Толкин, Джон Рональд Руэл","https://ru.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D1%81%D1%82%D0%B5%D0%BB%D0%B8%D0%BD_%D0%BA%D0%BE%D0%BB%D0%B5%D1%86"
"Гордость и предубеждение","Остин, Джейн","https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B4%D0%BE%D1%81%D1%82%D1%8C_%D0%B8_%D0%BF%D1%80%D0%B5%D0%B4%D1%83%D0%B1%D0%B5%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5"
"Тёмные начала","Пулман, Филип","https://ru.wikipedia.org/wiki/%D0%A2%D1%91%D0%BC%D0%BD%D1%8B%D0%B5_%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%B0"
"Автостопом по галактике (роман)","Адамс, Дуглас Ноэль","https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D1%82%D0%BE%D1%81%D1%82%D0%BE%D0%BF%D0%BE%D0%BC_%D0%BF%D0%BE_%D0%B3%D0%B0%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Гарри Поттер и Кубок огня","Роулинг, Джоан","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%80%D0%B8_%D0%9F%D0%BE%D1%82%D1%82%D0%B5%D1%80_%D0%B8_%D0%9A%D1%83%D0%B1%D0%BE%D0%BA_%D0%BE%D0%B3%D0%BD%D1%8F"
"Убить пересмешника","Ли, Харпер","https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D1%82%D1%8C_%D0%BF%D0%B5%D1%80%D0%B5%D1%81%D0%BC%D0%B5%D1%88%D0%BD%D0%B8%D0%BA%D0%B0"
"Винни Пух","Милн, Алан Александр","https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BD%D0%B8_%D0%9F%D1%83%D1%85"
"1984 (роман)","Джордж Оруэлл","https://ru.wikipedia.org/wiki/1984_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Лев, колдунья и платяной шкаф","Льюис, Клайв Стейплз","https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B2,_%D0%BA%D0%BE%D0%BB%D0%B4%D1%83%D0%BD%D1%8C%D1%8F_%D0%B8_%D0%BF%D0%BB%D0%B0%D1%82%D1%8F%D0%BD%D0%BE%D0%B9_%D1%88%D0%BA%D0%B0%D1%84"
"Джейн Эйр","Бронте, Шарлотта","https://ru.wikipedia.org/wiki/%D0%94%D0%B6%D0%B5%D0%B9%D0%BD_%D0%AD%D0%B9%D1%80"
"Уловка-22","Хеллер, Джозеф","https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%BE%D0%B2%D0%BA%D0%B0-22"
"Грозовой перевал","Бронте, Эмили","https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%B7%D0%BE%D0%B2%D0%BE%D0%B9_%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%B0%D0%BB"
"Пение птиц (роман)","Фолкс, Себастьян","https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BF%D1%82%D0%B8%D1%86_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Ребекка (роман)","Дюморье, Дафна","https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B1%D0%B5%D0%BA%D0%BA%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Над пропастью во ржи","Сэлинджер, Джером Дэвид","https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B4_%D0%BF%D1%80%D0%BE%D0%BF%D0%B0%D1%81%D1%82%D1%8C%D1%8E_%D0%B2%D0%BE_%D1%80%D0%B6%D0%B8"
"Ветер в ивах","Грэм, Кеннет","https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%82%D0%B5%D1%80_%D0%B2_%D0%B8%D0%B2%D0%B0%D1%85"
"Большие надежды","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%B8%D0%B5_%D0%BD%D0%B0%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B"
"Маленькие женщины","Олкотт, Луиза Мэй","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B5_%D0%B6%D0%B5%D0%BD%D1%89%D0%B8%D0%BD%D1%8B"
"Война и мир","Толстой, Лев Николаевич","https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B8_%D0%BC%D0%B8%D1%80"
"Унесённые ветром","Митчелл, Маргарет","https://ru.wikipedia.org/wiki/%D0%A3%D0%BD%D0%B5%D1%81%D1%91%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B2%D0%B5%D1%82%D1%80%D0%BE%D0%BC"
"Гарри Поттер и философский камень","Роулинг, Джоан","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%80%D0%B8_%D0%9F%D0%BE%D1%82%D1%82%D0%B5%D1%80_%D0%B8_%D1%84%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D0%B0%D0%BC%D0%B5%D0%BD%D1%8C"
"Гарри Поттер и Тайная комната","Роулинг, Джоан","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%80%D0%B8_%D0%9F%D0%BE%D1%82%D1%82%D0%B5%D1%80_%D0%B8_%D0%A2%D0%B0%D0%B9%D0%BD%D0%B0%D1%8F_%D0%BA%D0%BE%D0%BC%D0%BD%D0%B0%D1%82%D0%B0"
"Гарри Поттер и узник Азкабана","Роулинг, Джоан","https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%80%D0%B8_%D0%9F%D0%BE%D1%82%D1%82%D0%B5%D1%80_%D0%B8_%D1%83%D0%B7%D0%BD%D0%B8%D0%BA_%D0%90%D0%B7%D0%BA%D0%B0%D0%B1%D0%B0%D0%BD%D0%B0"
"Хоббит, или Туда и обратно","Толкин, Джон Рональд Руэл","https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%B1%D0%B1%D0%B8%D1%82,_%D0%B8%D0%BB%D0%B8_%D0%A2%D1%83%D0%B4%D0%B0_%D0%B8_%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D0%BD%D0%BE"
"Тэсс из рода д’Эрбервиллей","Харди, Томас","https://ru.wikipedia.org/wiki/%D0%A2%D1%8D%D1%81%D1%81_%D0%B8%D0%B7_%D1%80%D0%BE%D0%B4%D0%B0_%D0%B4%E2%80%99%D0%AD%D1%80%D0%B1%D0%B5%D1%80%D0%B2%D0%B8%D0%BB%D0%BB%D0%B5%D0%B9"
"Молитва об Оуэне Мини","Ирвинг, Джон Уинслоу","https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BB%D0%B8%D1%82%D0%B2%D0%B0_%D0%BE%D0%B1_%D0%9E%D1%83%D1%8D%D0%BD%D0%B5_%D0%9C%D0%B8%D0%BD%D0%B8"
"Гроздья гнева","Стейнбек, Джон","https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%B7%D0%B4%D1%8C%D1%8F_%D0%B3%D0%BD%D0%B5%D0%B2%D0%B0"
"Алиса в Стране чудес","Льюис Кэрролл","https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B8%D1%81%D0%B0_%D0%B2_%D0%A1%D1%82%D1%80%D0%B0%D0%BD%D0%B5_%D1%87%D1%83%D0%B4%D0%B5%D1%81"
