"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"HS",2019,201901,"January 2019",2,0,1,"Imports",56,"Belgium",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,1578,NA,NA,0
"HS",2019,201901,"January 2019",2,0,1,"Imports",97,"EU-28",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,1578,NA,NA,0
"HS",2019,201903,"March 2019",2,0,1,"Imports",97,"EU-28",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,6387,NA,NA,0
"HS",2019,201907,"July 2019",2,0,1,"Imports",97,"EU-28",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,891,NA,NA,0
"HS",2019,201912,"December 2019",2,0,1,"Imports",97,"EU-28",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,6444,NA,NA,0
"HS",2019,201910,"October 2019",2,0,1,"Imports",152,"Chile",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,NA,NA,50434,NA,NA,0
"HS",2019,201903,"March 2019",2,0,1,"Imports",276,"Germany",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,6387,NA,NA,0
"HS",2019,201912,"December 2019",2,0,1,"Imports",276,"Germany",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,6444,NA,NA,0
"HS",2019,201907,"July 2019",2,0,1,"Imports",528,"Netherlands",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,891,NA,NA,0
"HS",2019,201901,"January 2019",2,0,1,"Imports",600,"Paraguay",NA,858,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",NA,NA,NA,NA,NA,NA,0,NA,6242,NA,NA,0
